"","scenario1.Basket1","scenario1.Basket2","scenario1.Basket3","scenario1.Basket4","scenario1.Basket5","scenario1.FPR","scenario1.FDR","scenario1.TPR","scenario1.CCR","scenario2.Basket1","scenario2.Basket2","scenario2.Basket3","scenario2.Basket4","scenario2.Basket5","scenario2.FPR","scenario2.FDR","scenario2.TPR","scenario2.CCR","scenario3.Basket1","scenario3.Basket2","scenario3.Basket3","scenario3.Basket4","scenario3.Basket5","scenario3.FPR","scenario3.FDR","scenario3.TPR","scenario3.CCR","scenario4.Basket1","scenario4.Basket2","scenario4.Basket3","scenario4.Basket4","scenario4.Basket5","scenario4.FPR","scenario4.FDR","scenario4.TPR","scenario4.CCR","scenario5.Basket1","scenario5.Basket2","scenario5.Basket3","scenario5.Basket4","scenario5.Basket5","scenario5.FPR","scenario5.FDR","scenario5.TPR","scenario5.CCR","scenario6.Basket1","scenario6.Basket2","scenario6.Basket3","scenario6.Basket4","scenario6.Basket5","scenario6.FPR","scenario6.FDR","scenario6.TPR","scenario6.CCR"
"IM","0.065","0.066","0.062","0.059","0.067","0.064","0.283","NA","NA","0.065","0.060","0.065","0.621","0.626","0.063","0.092","0.623","0.811","0.065","0.619","0.625","0.623","0.623","0.065","0.021","0.623","0.685","0.062","0.613","0.631","0.955","0.958","0.062","0.016","0.789","0.819","0.062","0.960","0.955","0.959","0.959","0.062","0.013","0.958","0.954","0.627","0.632","0.625","0.612","0.629","NA","NA","0.625","0.625"
"local-PP-PEB","0.098","0.107","0.098","0.094","0.104","0.100","0.347","NA","NA","0.133","0.128","0.134","0.725","0.727","0.131","0.154","0.726","0.811","0.143","0.740","0.735","0.737","0.739","0.143","0.039","0.738","0.762","0.131","0.722","0.750","0.970","0.973","0.131","0.031","0.854","0.857","0.133","0.973","0.971","0.971","0.976","0.133","0.027","0.973","0.951","0.733","0.740","0.741","0.724","0.744","NA","NA","0.737","0.737"
"local-PP-GEB","0.101","0.110","0.099","0.096","0.106","0.102","0.347","NA","NA","0.136","0.131","0.135","0.730","0.731","0.134","0.157","0.731","0.812","0.143","0.741","0.736","0.737","0.740","0.143","0.039","0.738","0.762","0.131","0.723","0.750","0.970","0.973","0.131","0.031","0.854","0.857","0.130","0.973","0.971","0.971","0.976","0.130","0.027","0.973","0.952","0.734","0.741","0.741","0.725","0.744","NA","NA","0.737","0.737"
"JSD","0.099","0.108","0.094","0.094","0.105","0.100","0.324","NA","NA","0.122","0.121","0.125","0.700","0.704","0.123","0.136","0.702","0.807","0.141","0.727","0.721","0.723","0.725","0.141","0.037","0.724","0.751","0.116","0.681","0.702","0.967","0.969","0.116","0.027","0.830","0.841","0.088","0.965","0.961","0.963","0.965","0.088","0.018","0.964","0.953","0.728","0.734","0.735","0.718","0.735","NA","NA","0.730","0.730"
"EXNEX","0.099","0.106","0.098","0.093","0.102","0.100","0.354","NA","NA","0.130","0.127","0.133","0.721","0.723","0.130","0.152","0.722","0.811","0.143","0.740","0.735","0.737","0.737","0.143","0.039","0.737","0.761","0.131","0.722","0.750","0.970","0.973","0.131","0.031","0.854","0.857","0.133","0.973","0.971","0.971","0.976","0.133","0.027","0.973","0.951","0.733","0.740","0.741","0.724","0.744","NA","NA","0.737","0.737"
