"","scenario1.Basket1","scenario1.Basket2","scenario1.Basket3","scenario1.Basket4","scenario1.Basket5","scenario1.FPR","scenario1.FDR","scenario1.TPR","scenario1.CCR","scenario2.Basket1","scenario2.Basket2","scenario2.Basket3","scenario2.Basket4","scenario2.Basket5","scenario2.FPR","scenario2.FDR","scenario2.TPR","scenario2.CCR","scenario3.Basket1","scenario3.Basket2","scenario3.Basket3","scenario3.Basket4","scenario3.Basket5","scenario3.FPR","scenario3.FDR","scenario3.TPR","scenario3.CCR","scenario4.Basket1","scenario4.Basket2","scenario4.Basket3","scenario4.Basket4","scenario4.Basket5","scenario4.FPR","scenario4.FDR","scenario4.TPR","scenario4.CCR","scenario5.Basket1","scenario5.Basket2","scenario5.Basket3","scenario5.Basket4","scenario5.Basket5","scenario5.FPR","scenario5.FDR","scenario5.TPR","scenario5.CCR","scenario6.Basket1","scenario6.Basket2","scenario6.Basket3","scenario6.Basket4","scenario6.Basket5","scenario6.FPR","scenario6.FDR","scenario6.TPR","scenario6.CCR"
"IM","0.075","0.081","0.104","0.089","0.098","0.090","0.379","NA","NA","0.075","0.073","0.104","0.599","0.658","0.084","0.120","0.628","0.801","0.074","0.535","0.448","0.597","0.653","0.074","0.025","0.558","0.632","0.074","0.535","0.459","0.932","0.958","0.074","0.020","0.721","0.762","0.074","0.910","0.777","0.932","0.959","0.074","0.017","0.894","0.901","0.659","0.551","0.454","0.584","0.654","NA","NA","0.581","0.581"
"local-PP-PEB","0.099","0.100","0.099","0.098","0.100","0.099","0.366","NA","NA","0.134","0.145","0.105","0.643","0.683","0.128","0.156","0.663","0.788","0.154","0.662","0.449","0.681","0.723","0.154","0.047","0.629","0.672","0.143","0.658","0.460","0.949","0.968","0.143","0.036","0.759","0.778","0.147","0.952","0.777","0.953","0.969","0.147","0.032","0.913","0.901","0.751","0.704","0.455","0.703","0.750","NA","NA","0.673","0.673"
"local-PP-GEB","0.100","0.100","0.100","0.101","0.100","0.100","0.375","NA","NA","0.139","0.155","0.104","0.633","0.673","0.133","0.167","0.653","0.782","0.150","0.672","0.449","0.645","0.685","0.150","0.048","0.613","0.660","0.115","0.640","0.460","0.936","0.962","0.115","0.030","0.750","0.777","0.104","0.938","0.777","0.936","0.962","0.104","0.023","0.903","0.902","0.747","0.692","0.455","0.628","0.682","NA","NA","0.641","0.641"
"JSD","0.101","0.094","0.069","0.092","0.096","0.091","0.274","NA","NA","0.115","0.150","0.137","0.633","0.665","0.134","0.146","0.649","0.779","0.127","0.653","0.513","0.670","0.695","0.127","0.035","0.633","0.681","0.110","0.577","0.468","0.931","0.959","0.110","0.026","0.734","0.765","0.096","0.914","0.758","0.925","0.951","0.096","0.021","0.887","0.890","0.722","0.680","0.543","0.683","0.718","NA","NA","0.669","0.669"
"EXNEX","0.099","0.100","0.100","0.100","0.100","0.100","0.384","NA","NA","0.136","0.150","0.103","0.641","0.662","0.129","0.160","0.652","0.783","0.155","0.680","0.448","0.699","0.680","0.155","0.047","0.627","0.670","0.147","0.689","0.459","0.956","0.963","0.147","0.037","0.767","0.784","0.149","0.958","0.777","0.961","0.963","0.149","0.033","0.915","0.902","0.752","0.711","0.454","0.717","0.721","NA","NA","0.671","0.671"
